PART NUMBER,PART THICKNESS (in),PART WIDTH (in),TOTAL COST OF POOR QUALITY
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.00015,4.0,149585.3899622995
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0002,4.0,104198.94937921251
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.004,1.5,77246.56622879412
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0005,3.25,61001.822921598585
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.002375,3.5,56054.17
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0005,12.0,47379.34993051458
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0001,4.0,41079.48934830597
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.00015,4.03,40056.67513184074
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.00013,4.0,30844.268497942547
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",9e-05,4.0,19226.672465142856
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.000295,4.0,18598.063919474116
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0375,5.25,14518.845263157895
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.02,12.5,14014.17
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.00015,4.375,12834.322699999999
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.000462,12.0,11941.724081071796
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.00197,6.5,11251.460915492957
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.01,2.75,10745.57046712181
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.01,3.0,9374.711678205129
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",9.8e-05,3.543,9139.831735714286
"1377     104385
1378     101008
1379     100228
1380     102852
1381     102931
         ...   
1691    100644J
1692    104171D
1693     102427
1694     103073
1695     105704
NAME: PART NUMBER, LENGTH: 311, DTYPE: OBJECT",0.0059,3.705,9096.895
