WORKORDER_BASE_ID,WORKORDER_LOT_ID,Start Part,Final Part,Start Thickness,Start Width,Start Temper,Start Surface Finish,Start Stock UM,Start Qty on hand,Start Qty on order,Final Thickness,Final Width,Final Temper,Final Surface Finish,Final Stock UM,Final Qty on hand,Final Qty on order,Product Code,Customer,Alloy,R1 Mill,R1 CR %,R1 Thick,R2 Mill,R2 CR %,R2 Thick,R3 Mill,R3 CR %,R3 Thick,R4 Mill,R4 CR %,R4 Thick,R5 Mill,R5 CR %,R5 Thick
100/SURFACE,0,738675,100/SURFACE,.0005,12.375,CR,2B,LB,0.0,0.0,".0005""","12.000""",ANNEALED,"Ra 4 TO 9, AIM FOR 9",FT,0.0,0.0,SAMPLE, HPM / PUMICE BRUSH,HPM 600,,,,,,,,,,,,,,,
100000,100,658154,100000,.020,7.750,ANN,2B,LB,0.0,98.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M 12 MILL GRP,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,101,658158,100000,.020,13.000,ANN,2B,LB,0.0,3842.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M Z-HIGH MILL,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,102,658161,100000,.020,10.500,ANN,2B,LB,11575.0,65402.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M 12 MILL GRP,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,103,658158,100000,.020,13.000,ANN,2B,LB,0.0,3842.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M Z-HIGH MILL,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,104,658161,100000,.020,10.500,ANN,2B,LB,11575.0,65402.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M Z-HIGH MILL,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,105,658160,100000,.020  ,10.000,ANN,2B,LB,0.0,0.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M Z-HIGH MILL,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,106,658154,100000,.020,7.750,ANN,2B,LB,0.0,98.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,M Z-HIGH MILL,55.500177999288006,0.0088999644001424,,,,,,,,,,,,
100000,107,758156A,100000,.0089,10.5,CR,2B,LB,0.0,0.0,.0089,2.400,ANN,2B,LB,0.0,1600.0,RESISTOR,VISHAY DALE ELECTRONICS INC.,EVANOHM R,,,,,,,,,,,,,,,
100001,100,602180,100001,.035,13.500,ANN,2B,LB,16281.0,-4110.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,71.42857142857143,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100001,101,602028,100001,.060 ,14.500,ANN,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,83.33333333333333,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100001,102,702611,100001,.004,13.250,FH,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,,,,,,,,,,,,,,,
100001,103,702548,100001,.0095,13.25,ANN,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,57.89473684210527,0.004,,,,,,,,,,,,
100001,104,602182,100001,.035,13.000,ANN,2B,LB,0.0,0.0,.004,.750,CR,2B,LB,0.0,1000.0,DOME SWTCH/MEMB,PENN UNITED TECHNOLOGY INC.,SS 304,M Z-HIGH MILL,71.42857142857143,0.01,M 14 MILL,60.0,0.004,,,,,,,,,
100132,100,701668,100132,.001,13,FH,2B,LB,94.0,0.0,.001,4.250,FH,2B,LB,0.0,0.0,SHIM ,DOVEE MANUFACTURING INC.,SS 302,,,,,,,,,,,,,,,
100133,100,701668,100133,.001,13,FH,2B,LB,94.0,0.0,.001,5.250,FH,2B,LB,0.0,164.1712,SHIM ,DOVEE MANUFACTURING INC.,SS 302,,,,,,,,,,,,,,,
100134,100,610177,100134,.035,14.500,ANN,2B,LB,0.0,0.0,.015,.140,FH,2B,LB,0.0,0.0,CONNECTRS/ELECT,ROCKWELL AUTOMATION,SS 301HT,M Z-HIGH MILL,57.1422448892127,0.0150002142887755,,,,,,,,,,,,
100134,102,710448,100134,.015,1.5,FH,2B,LB,0.0,0.0,.015,.140,FH,2B,LB,0.0,0.0,CONNECTRS/ELECT,ROCKWELL AUTOMATION,SS 301HT,,,,,,,,,,,,,,,
100135,101,794528,100135,.010,12.375,ANN,2B (RA 8 MAX.),LB,128.0,5689.0,.010,2.625,ANN,2B (RA 8 MAX.),LB,0.0,-86.6,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100135,300,794528,100135,.010,12.375,ANN,2B (RA 8 MAX.),LB,128.0,5689.0,.010,2.625,ANN,2B (RA 8 MAX.),LB,0.0,-86.6,MED: IMPLANT,"GREATBATCH, INC.",TI-GR 1,,,,,,,,,,,,,,,
100143,100,717659,100143,.002,1.2,CR - 80%,2B,FT,0.0,8.2231,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,102,717656,100143,.002,3.750,CR (80-84%),2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100143,103,300386,100143,.002,.125,CR,2B,LB,0.0,0.0,.002,.125,CR,2B,LB,0.1,0.0,DIAPHRM/PRC CTL,JOHN EVANS SONS ,HAVAR,,,,,,,,,,,,,,,
100127,100,703642,100127,.002,13.500,FH,2B,LB,0.0,0.0,.002,3.250,FH,2B,LB,0.0,0.0,SHIM ,DOVEE MANUFACTURING INC.,SS 302,,,,,,,,,,,,,,,
100130,100,701668,100130,.001,13,FH,2B,LB,94.0,0.0,.001,2.250,FH,2B,LB,0.0,70.3041,SHIM ,DOVEE MANUFACTURING INC.,SS 302,,,,,,,,,,,,,,,
100159,100,800049,100159,.002,4.375,ANN,2B,LB,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,DESMOND INTERNATIONAL,CONSTANTAN,F FOIL MILL #1,86.4999864999865,0.0002700002700002,F FOIL MILL #2,25.92592592592593,0.0002000002000002,,,,,,,,,
100168,100,653650,100168,.010,4.625,ANN,2B,EA,0.0,0.0,.0002,4.000,CR-90%,SG,FT,0.0,0.0,STR GAGE FOIL,BERKLAY (H K) CO,CONSTANTAN,F FOIL MILL #1,86.49998649998652,0.0013500013500013,F FOIL MILL GRP,25.925925925925924,0.001000001000001,,,,,,,,,
