WORKORDER_BASE_ID,WORKORDER_LOT_ID,Order Shortage
0001323,1,
000136,1,"S 149 GRP OP#20 Loss: 20.5%, CLN-L OP#71 Loss: 85.8%, S 149 #1 OP#75 Loss: 80.7%, CLN-L OP#141 Loss: 95.1%, S 149 #1 OP#142 Loss: 95.2%, "
0001362,1,"12M-2 OP#115 Loss: 73.1%, CLN-L OP#116 Loss: 73.3%, 12M-GRP OP#130 Loss: 24.4%, 12M-GRP OP#150 Loss: 74.4%, "
0001363,1,
0001364,1,
0001366,1,"A-D1 OP#120 Loss: 48.6%, "
0002294,1,
0002492,1,
0002494,1,
000257,1,
000284BR,1,"F-MILL GRP OP#180 Loss: 15.3%, "
0003271,1,
000401,1,
0004051,1,
000432,1,
0004331,1,
0004524,1,
0005444,1,"S 149 GRP OP#140 Loss: 90.0%, "
0005445,1,"S 149 GRP OP#140 Loss: 89.9%, "
0005446,1,
0005447,1,
0005448,1,
000625,1,
0006291,1,
0007033,1,
000710,1,
000740,1,
0007471,1,
000749,1,
000840B,1,
000840C,1,
000841A2,1,
000841B,1,
000841C2,1,
000841D2,1,
000849,1,
000867A,1,
000915,1,
000916,1,
0009161,1,
0009191,1,"S 149 GRP OP#90 Loss: 60.5%, F WRAP OP#160 Loss: 41.5%, "
000921,1,"14M OP#80 Loss: 47.1%, "
0009266,1,
0009267,1,
000927,1,
0009292,1,"S 149 GRP OP#50 Loss: 47.9%, F-BLK OP#80 Loss: 47.7%, "
000930,1,"F-MILL GRP OP#110 Loss: 14.4%, "
000936B,1,
000936C,1,
000936C1,1,
000936C2,1,
000940,1,
0009492,1,
000960,1,
000965,1,
000966,1,
000967,1,
0009671,1,
000974,1,"F-CLN OP#110 Loss: 47.3%, "
000983,1,
0010031,1,
0010032,1,
0010049,1,
001009,1,
001013,1,
001015,1,
001016,1,
0010221,1,"S 149 GRP OP#30 Loss: 93.5%, A-D2 OP#50 Loss: 94.4%, ZHI OP#60 Loss: 95.2%, A-D2 OP#110 Loss: 95.9%, S 149 GRP OP#121 Loss: 92.1%, S 149 #2 OP#130 Loss: 92.4%, "
001026,1,"S 149 GRP OP#130 Loss: 46.9%, S 149 GRP OP#150 Loss: 71.2%, "
001028,1,"S 189 OP#160 Loss: 38.4%, "
0010291,1,
001030,1,
001031,1,
001037,1,
001037,2,
001038,1,"12M-2 OP#170 Loss: 15.9%, "
001042,1,
001043,1,
001045,1,"S 149 #1 OP#90 Loss: 74.4%, "
